ano;data;dia_do_ano;dia_semana_abrev;dia_semana_completo;dia_semana_num;feriado;mes_abrev;mes_completo;mes_numero;semana_do_ano;semana_num
2020;2020-12-23;358;qua;quarta-feira;3;0;dez;dezembro;12;52ª Semana;4ª Semana
2020;2020-12-24;359;qui;quinta-feira;4;0;dez;dezembro;12;52ª Semana;4ª Semana
